W,E1,E2
8000,2.83063,12.1022
8053.8,2.41151,12.0614
8107.59,1.99863,11.9917
8161.39,1.59489,11.8942
8215.19,1.20298,11.7702
8268.99,0.82534,11.6215
8322.78,0.464081,11.4502
8376.58,0.120978,11.2584
8430.38,-0.202547,11.0485
8484.18,-0.50543,10.823
8537.97,-0.786953,10.5843
8591.77,-1.04673,10.3348
8645.57,-1.28466,10.0768
8699.37,-1.50094,9.8125
8753.16,-1.69597,9.54401
8806.96,-1.87036,9.2732
8860.76,-2.02487,9.00177
8914.56,-2.16039,8.73126
8968.35,-2.27789,8.46301
9022.15,-2.37842,8.19817
9075.95,-2.46304,7.93773
9129.75,-2.53285,7.68252
9183.54,-2.58892,7.43322
9237.34,-2.63231,7.19037
9291.14,-2.66407,6.95439
9344.94,-2.68517,6.72559
9398.73,-2.69656,6.50418
9452.53,-2.69913,6.29031
9506.33,-2.69373,6.08404
9560.13,-2.68112,5.88537
9613.92,-2.66204,5.69425
9667.72,-2.63716,5.51061
9721.52,-2.60711,5.33431
9775.32,-2.57244,5.16521
9829.11,-2.53369,5.00315
9882.91,-2.49133,4.84793
9936.71,-2.4458,4.69936
9990.51,-2.39748,4.55724
10044.3,-2.34673,4.42136
10098.1,-2.29388,4.2915
10151.9,-2.23922,4.16745
10205.7,-2.18301,4.04901
10259.5,-2.12549,3.93597
10313.3,-2.06686,3.82813
10367.1,-2.00732,3.72529
10420.9,-1.94704,3.62726
10474.7,-1.88616,3.53386
10528.5,-1.82483,3.44492
10582.3,-1.76316,3.36026
10636.1,-1.70125,3.27972
10689.9,-1.6392,3.20315
10743.7,-1.5771,3.1304
10797.5,-1.51501,3.06135
10851.3,-1.45301,2.99585
10905.1,-1.39114,2.93378
10958.9,-1.32945,2.87503
11012.7,-1.268,2.8195
11066.5,-1.20681,2.76707
11120.3,-1.14592,2.71766
11174.1,-1.08535,2.67118
11227.8,-1.02514,2.62755
11281.6,-0.965308,2.58669
11335.4,-0.905865,2.54855
11389.2,-0.846832,2.51305
11443,-0.788226,2.48014
11496.8,-0.73006,2.44978
11550.6,-0.672348,2.42192
11604.4,-0.615103,2.39653
11658.2,-0.558338,2.37357
11712,-0.502068,2.35302
11765.8,-0.446306,2.33485
11819.6,-0.39107,2.31906
11873.4,-0.336375,2.30563
11927.2,-0.282244,2.29456
11981,-0.228697,2.28585
12034.8,-0.175762,2.27951
12088.6,-0.123467,2.27554
12142.4,-0.0718469,2.27396
12196.2,-0.0209406,2.2748
12250,0.0292074,2.27807
12303.8,0.0785463,2.28381
12357.6,0.127018,2.29204
12411.4,0.174557,2.30281
12465.2,0.221088,2.31615
12519,0.266527,2.3321
12572.8,0.310779,2.35071
12626.6,0.353737,2.37202
12680.4,0.395282,2.39608
12734.2,0.43528,2.42293
12788,0.473583,2.4526
12841.8,0.510027,2.48513
12895.6,0.544429,2.52056
12949.4,0.576591,2.55891
13003.2,0.606293,2.60018
13057,0.633298,2.64437
13110.8,0.657348,2.69147
13164.6,0.678164,2.74142
13218.4,0.695449,2.79417
13272.2,0.708888,2.84961
13325.9,0.718148,2.90761
13379.7,0.722885,2.968
13433.5,0.722743,3.03056
13487.3,0.717362,3.09503
13541.1,0.706384,3.16107
13594.9,0.689459,3.22832
13648.7,0.666258,3.29631
13702.5,0.636481,3.36454
13756.3,0.599867,3.43242
13810.1,0.556216,3.49932
13863.9,0.505391,3.56453
13917.7,0.447343,3.62728
13971.5,0.382118,3.6868
14025.3,0.309872,3.74224
14079.1,0.23088,3.79277
14132.9,0.145543,3.83757
14186.7,0.0543918,3.87586
14240.5,-0.0419192,3.9069
14294.3,-0.142616,3.93004
14348.1,-0.246822,3.94475
14401.9,-0.353573,3.95062
14455.7,-0.461847,3.94737
14509.5,-0.570584,3.93488
14563.3,-0.67872,3.91322
14617.1,-0.785216,3.88256
14670.9,-0.889084,3.84327
14724.7,-0.989413,3.79581
14778.5,-1.08539,3.74079
14832.3,-1.17632,3.67889
14886.1,-1.26162,3.61087
14939.9,-1.34084,3.53753
14993.7,-1.41368,3.45969
15047.5,-1.47992,3.37816
15101.3,-1.53949,3.29373
15155.1,-1.5924,3.20718
15208.9,-1.63877,3.1192
15262.7,-1.67877,3.03044
15316.5,-1.71266,2.9415
15370.3,-1.7407,2.8529
15424.1,-1.76325,2.76509
15477.8,-1.78063,2.67845
15531.6,-1.7932,2.59333
15585.4,-1.80135,2.50999
15639.2,-1.80541,2.42864
15693,-1.80576,2.34945
15746.8,-1.80273,2.27256
15800.6,-1.79665,2.19805
15854.4,-1.78782,2.12597
15908.2,-1.77654,2.05637
15962,-1.76309,1.98923
16015.8,-1.7477,1.92456
16069.6,-1.73062,1.86232
16123.4,-1.71205,1.80246
16177.2,-1.69219,1.74494
16231,-1.67121,1.68969
16284.8,-1.64928,1.63665
16338.6,-1.62655,1.58574
16392.4,-1.60313,1.53689
16446.2,-1.57916,1.49003
16500,-1.55473,1.44508
16553.8,-1.52994,1.40196
16607.6,-1.50488,1.3606
16661.4,-1.47961,1.32092
16715.2,-1.45422,1.28284
16769,-1.42875,1.24631
16822.8,-1.40325,1.21125
16876.6,-1.37779,1.17759
16930.4,-1.35238,1.14526
16984.2,-1.32708,1.11422
17038,-1.30191,1.0844
17091.8,-1.27691,1.05573
17145.6,-1.25208,1.02818
17199.4,-1.22746,1.00168
17253.2,-1.20306,0.976188
17307,-1.17889,0.951658
17360.8,-1.15497,0.928044
17414.6,-1.13131,0.905304
17468.4,-1.10792,0.883398
17522.2,-1.0848,0.862287
17575.9,-1.06197,0.841935
17629.7,-1.03941,0.822308
17683.5,-1.01715,0.803372
17737.3,-0.995172,0.785097
17791.1,-0.973488,0.767453
17844.9,-0.952095,0.750412
17898.7,-0.930994,0.733948
17952.5,-0.910184,0.718035
18006.3,-0.889664,0.702649
18060.1,-0.869431,0.687768
18113.9,-0.849484,0.67337
18167.7,-0.829821,0.659434
18221.5,-0.810439,0.645941
18275.3,-0.791334,0.632873
18329.1,-0.772504,0.620211
18382.9,-0.753945,0.607939
18436.7,-0.735654,0.596041
18490.5,-0.717627,0.584502
18544.3,-0.69986,0.573307
18598.1,-0.68235,0.562444
18651.9,-0.665092,0.551898
18705.7,-0.648083,0.541657
18759.5,-0.631319,0.53171
18813.3,-0.614795,0.522045
18867.1,-0.598509,0.512652
18920.9,-0.582455,0.503519
18974.7,-0.56663,0.494638
19028.5,-0.55103,0.485999
19082.3,-0.535651,0.477593
19136.1,-0.520489,0.469412
19189.9,-0.505541,0.461448
19243.7,-0.490802,0.453692
19297.5,-0.476269,0.446137
19351.3,-0.461938,0.438777
19405.1,-0.447805,0.431604
19458.9,-0.433868,0.424612
19512.7,-0.420122,0.417794
19566.5,-0.406564,0.411146
19620.3,-0.39319,0.404661
19674.1,-0.379998,0.398333
19727.8,-0.366983,0.392158
19781.6,-0.354143,0.38613
19835.4,-0.341475,0.380245
19889.2,-0.328975,0.374497
19943,-0.31664,0.368883
19996.8,-0.304467,0.363399
20050.6,-0.292454,0.35804
20104.4,-0.280597,0.352802
20158.2,-0.268894,0.347682
20212,-0.257342,0.342675
20265.8,-0.245938,0.33778
20319.6,-0.23468,0.332991
20373.4,-0.223564,0.328306
20427.2,-0.212589,0.323722
20481,-0.201752,0.319236
20534.8,-0.19105,0.314845
20588.6,-0.180481,0.310546
20642.4,-0.170044,0.306337
20696.2,-0.159734,0.302214
20750,-0.149551,0.298176
20803.8,-0.139492,0.294221
20857.6,-0.129555,0.290345
20911.4,-0.119737,0.286547
20965.2,-0.110038,0.282824
21019,-0.100454,0.279175
21072.8,-0.0909837,0.275597
21126.6,-0.0816254,0.272089
21180.4,-0.0723771,0.268649
21234.2,-0.0632369,0.265274
21288,-0.054203,0.261964
21341.8,-0.0452737,0.258716
21395.6,-0.0364472,0.255528
21449.4,-0.0277217,0.252401
21503.2,-0.0190958,0.249331
21557,-0.0105677,0.246317
21610.8,-0.00213578,0.243358
21664.6,0.00620143,0.240453
21718.4,0.0144455,0.2376
21772.2,0.0225979,0.234798
21825.9,0.0306601,0.232045
21879.7,0.0386335,0.229341
21933.5,0.0465196,0.226685
21987.3,0.0543197,0.224074
22041.1,0.0620351,0.221509
22094.9,0.0696673,0.218987
22148.7,0.0772174,0.216509
22202.5,0.0846868,0.214072
22256.3,0.0920766,0.211677
22310.1,0.0993882,0.209321
22363.9,0.106623,0.207005
22417.7,0.113781,0.204727
22471.5,0.120865,0.202486
22525.3,0.127875,0.200281
22579.1,0.134813,0.198113
22632.9,0.141679,0.195979
22686.7,0.148474,0.19388
22740.5,0.155201,0.191814
22794.3,0.161859,0.189781
22848.1,0.168449,0.187779
22901.9,0.174973,0.185809
22955.7,0.181432,0.18387
23009.5,0.187826,0.18196
23063.3,0.194157,0.18008
23117.1,0.200425,0.178229
23170.9,0.206632,0.176406
23224.7,0.212777,0.17461
23278.5,0.218863,0.172841
23332.3,0.224889,0.171099
23386.1,0.230857,0.169383
23439.9,0.236768,0.167692
23493.7,0.242621,0.166026
23547.5,0.248419,0.164384
23601.3,0.254162,0.162766
23655.1,0.25985,0.161172
23708.9,0.265484,0.1596
23762.7,0.271066,0.158051
23816.5,0.276595,0.156524
23870.3,0.282073,0.155019
23924.1,0.2875,0.153535
23977.8,0.292876,0.152071
24031.6,0.298203,0.150628
24085.4,0.303482,0.149206
24139.2,0.308712,0.147802
24193,0.313894,0.146419
24246.8,0.31903,0.145054
24300.6,0.324119,0.143707
24354.4,0.329162,0.142379
24408.2,0.334161,0.141069
24462,0.339114,0.139776
24515.8,0.344024,0.138501
24569.6,0.34889,0.137242
24623.4,0.353713,0.136
24677.2,0.358494,0.134775
24731,0.363233,0.133565
24784.8,0.367931,0.132372
24838.6,0.372588,0.131194
24892.4,0.377205,0.130031
24946.2,0.381782,0.128883
25000,0.386319,0.127749
